year,month,date_of_month,day_of_week,births
2000,11,3,5,12630
2000,11,4,6,9084
2000,11,5,7,8078
2000,11,6,1,11862
2000,11,7,2,12822
2000,11,8,3,12829
2000,11,9,4,12778
2000,11,10,5,12554
2000,11,11,6,9318
2000,11,12,7,8070
2000,11,13,1,11480
2000,11,14,2,13153
2000,11,15,3,12953
2000,11,16,4,13061
2000,11,17,5,12888
2000,11,18,6,9137
2000,11,19,7,8077
2000,11,20,1,12974
2000,11,21,2,13991
2000,11,22,3,12420
2000,11,23,4,8144
2000,11,24,5,9805
2000,11,25,6,8537
2000,11,26,7,7950
2000,11,27,1,12175
2000,11,28,2,13799
2000,11,29,3,13114
2000,11,30,4,12818
2000,12,1,5,12545
2000,12,2,6,8914
2000,12,3,7,7930
2000,12,4,1,11501
2000,12,5,2,12997
2000,12,6,3,12697
2000,12,7,4,12820
2000,12,8,5,12548
2000,12,9,6,8853
2000,12,10,7,8022
2000,12,11,1,11811
2000,12,12,2,13627
2000,12,13,3,12567
2000,12,14,4,12640
2000,12,15,5,12656
2000,12,16,6,9184
2000,12,17,7,8026
2000,12,18,1,12590
2000,12,19,2,13829
2000,12,20,3,13762
2000,12,21,4,13524
2000,12,22,5,12248
2000,12,23,6,8484
2000,12,24,7,6971
2000,12,25,1,6719
2000,12,26,2,10395
2000,12,27,3,13252
2000,12,28,4,13900
2000,12,29,5,13607
2000,12,30,6,9405
2000,12,31,7,7892
2001,1,1,1,7663
2001,1,2,2,10635
2001,1,3,3,12449
2001,1,4,4,12678
2001,1,5,5,12647
2001,1,6,6,9180
2001,1,7,7,7883
2001,1,8,1,11447
2001,1,9,2,12386
2001,1,10,3,12455
2001,1,11,4,12433
2001,1,12,5,12735
2001,1,13,6,8836
2001,1,14,7,7818
2001,1,15,1,10926
2001,1,16,2,12327
2001,1,17,3,12344
2001,1,18,4,12648
2001,1,19,5,12339
2001,1,20,6,8771
2001,1,21,7,7850
2001,1,22,1,11444
2001,1,23,2,12446
2001,1,24,3,12244
2001,1,25,4,12570
2001,1,26,5,12191
2001,1,27,6,8795
2001,1,28,7,7761
2001,1,29,1,11513
2001,1,30,2,12488
2001,1,31,3,12477
2001,2,1,4,12477
2001,2,2,5,12470
2001,2,3,6,8650
2001,2,4,7,7716
2001,2,5,1,11825
2001,2,6,2,12536
2001,2,7,3,12343
2001,2,8,4,12390
2001,2,9,5,12343
2001,2,10,6,8791
2001,2,11,7,7563
2001,2,12,1,11670
2001,2,13,2,12267
2001,2,14,3,13191
2001,2,15,4,12632
2001,2,16,5,12355
2001,2,17,6,8609
2001,2,18,7,7555
2001,2,19,1,10522
2001,2,20,2,12373
2001,2,21,3,12492
2001,2,22,4,12482
2001,2,23,5,12242
2001,2,24,6,8656
2001,2,25,7,7794
2001,2,26,1,11332
2001,2,27,2,12334
2001,2,28,3,12209
2001,3,1,4,12530
2001,3,2,5,12383
2001,3,3,6,8935
2001,3,4,7,7799
2001,3,5,1,11411
2001,3,6,2,12339
2001,3,7,3,12351
2001,3,8,4,12440
2001,3,9,5,12461
2001,3,10,6,8807
2001,3,11,7,7697
2001,3,12,1,11595
2001,3,13,2,12534
2001,3,14,3,12578
2001,3,15,4,12525
2001,3,16,5,12460
2001,3,17,6,9006
2001,3,18,7,7526
2001,3,19,1,11352
2001,3,20,2,12868
2001,3,21,3,12690
2001,3,22,4,12472
2001,3,23,5,12432
2001,3,24,6,8830
2001,3,25,7,7800
2001,3,26,1,11290
2001,3,27,2,12570
2001,3,28,3,12469
2001,3,29,4,12366
2001,3,30,5,12059
2001,3,31,6,8770
2001,4,1,7,7212
2001,4,2,1,11673
2001,4,3,2,12864
2001,4,4,3,12655
2001,4,5,4,12438
2001,4,6,5,12407
2001,4,7,6,8755
2001,4,8,7,7718
2001,4,9,1,11617
2001,4,10,2,13031
2001,4,11,3,12912
2001,4,12,4,12733
2001,4,13,5,10881
2001,4,14,6,8262
2001,4,15,7,7230
2001,4,16,1,11220
2001,4,17,2,12867
2001,4,18,3,12381
2001,4,19,4,12257
2001,4,20,5,12296
2001,4,21,6,8849
2001,4,22,7,7758
2001,4,23,1,11672
2001,4,24,2,12981
2001,4,25,3,12728
2001,4,26,4,12560
2001,4,27,5,12335
2001,4,28,6,8574
2001,4,29,7,7602
2001,4,30,1,11416
2001,5,1,2,13037
2001,5,2,3,12542
2001,5,3,4,12596
2001,5,4,5,12276
2001,5,5,6,8795
2001,5,6,7,8001
2001,5,7,1,11635
2001,5,8,2,13032
2001,5,9,3,12477
2001,5,10,4,12632
2001,5,11,5,12296
2001,5,12,6,8692
2001,5,13,7,7479
2001,5,14,1,11577
2001,5,15,2,13124
2001,5,16,3,12625
2001,5,17,4,12630
2001,5,18,5,12313
2001,5,19,6,8803
2001,5,20,7,7732
2001,5,21,1,11680
2001,5,22,2,13047
2001,5,23,3,12936
2001,5,24,4,13179
2001,5,25,5,12722
2001,5,26,6,8911
2001,5,27,7,7529
2001,5,28,1,7993
2001,5,29,2,12013
2001,5,30,3,13334
2001,5,31,4,13051
2001,6,1,5,12677
2001,6,2,6,8920
2001,6,3,7,7887
2001,6,4,1,11500
2001,6,5,2,12683
2001,6,6,3,12804
2001,6,7,4,12566
2001,6,8,5,12451
2001,6,9,6,8756
2001,6,10,7,7674
2001,6,11,1,11776
2001,6,12,2,13218
2001,6,13,3,12342
2001,6,14,4,12655
2001,6,15,5,12394
2001,6,16,6,8780
2001,6,17,7,7722
2001,6,18,1,11756
2001,6,19,2,12785
2001,6,20,3,12704
2001,6,21,4,12615
2001,6,22,5,12299
2001,6,23,6,8452
2001,6,24,7,7639
2001,6,25,1,11575
2001,6,26,2,12939
2001,6,27,3,12809
2001,6,28,4,13059
2001,6,29,5,12922
2001,6,30,6,9247
2001,7,1,7,8145
2001,7,2,1,12390
2001,7,3,2,13364
2001,7,4,3,9608
2001,7,5,4,12531
2001,7,6,5,13151
2001,7,7,6,9544
2001,7,8,7,8249
2001,7,9,1,12036
2001,7,10,2,13614
2001,7,11,3,13026
2001,7,12,4,13188
2001,7,13,5,12187
2001,7,14,6,9269
2001,7,15,7,8047
2001,7,16,1,12383
2001,7,17,2,13657
2001,7,18,3,13241
2001,7,19,4,13293
2001,7,20,5,12950
2001,7,21,6,9410
2001,7,22,7,8116
2001,7,23,1,12099
2001,7,24,2,13532
2001,7,25,3,12988
2001,7,26,4,13022
2001,7,27,5,12677
2001,7,28,6,9102
2001,7,29,7,7892
2001,7,30,1,12150
2001,7,31,2,13218
2001,8,1,3,12960
2001,8,2,4,13097
2001,8,3,5,12859
2001,8,4,6,9143
2001,8,5,7,8062
2001,8,6,1,12008
2001,8,7,2,13488
2001,8,8,3,13185
2001,8,9,4,13339
2001,8,10,5,13094
2001,8,11,6,9275
2001,8,12,7,8261
2001,8,13,1,11682
2001,8,14,2,13325
2001,8,15,3,13332
2001,8,16,4,13372
2001,8,17,5,13102
2001,8,18,6,9294
2001,8,19,7,7945
2001,8,20,1,12313
2001,8,21,2,13590
2001,8,22,3,13146
2001,8,23,4,13158
2001,8,24,5,12996
2001,8,25,6,9229
2001,8,26,7,8115
2001,8,27,1,12080
2001,8,28,2,13792
2001,8,29,3,13160
2001,8,30,4,13520
2001,8,31,5,13461
2001,9,1,6,9248
2001,9,2,7,8239
2001,9,3,1,8115
2001,9,4,2,12501
2001,9,5,3,14055
2001,9,6,4,13925
2001,9,7,5,13721
2001,9,8,6,9344
2001,9,9,7,8347
2001,9,10,1,12459
2001,9,11,2,13590
2001,9,12,3,13149
2001,9,13,4,13186
2001,9,14,5,13444
2001,9,15,6,9662
2001,9,16,7,8319
2001,9,17,1,12664
2001,9,18,2,13526
2001,9,19,3,13575
2001,9,20,4,13750
2001,9,21,5,13341
2001,9,22,6,9607
2001,9,23,7,8495
2001,9,24,1,12564
2001,9,25,2,14063
2001,9,26,3,13441
2001,9,27,4,13199
2001,9,28,5,13174
2001,9,29,6,9243
2001,9,30,7,8042
2001,10,1,1,12425
2001,10,2,2,13523
2001,10,3,3,13056
2001,10,4,4,13182
2001,10,5,5,12851
2001,10,6,6,8872
2001,10,7,7,7744
2001,10,8,1,11531
2001,10,9,2,12886
2001,10,10,3,12858
2001,10,11,4,12568
2001,10,12,5,12676
2001,10,13,6,8659
2001,10,14,7,7753
2001,10,15,1,11649
2001,10,16,2,12770
2001,10,17,3,12599
2001,10,18,4,12579
2001,10,19,5,12359
2001,10,20,6,8747
2001,10,21,7,7506
2001,10,22,1,11705
2001,10,23,2,12896
2001,10,24,3,12676
2001,10,25,4,12516
2001,10,26,5,12296
2001,10,27,6,8458
2001,10,28,7,7676
2001,10,29,1,11389
2001,10,30,2,12534
2001,10,31,3,10913
2001,11,1,4,12879
2001,11,2,5,12374
2001,11,3,6,8572
2001,11,4,7,7533
2001,11,5,1,11668
2001,11,6,2,12662
2001,11,7,3,12419
2001,11,8,4,12519
2001,11,9,5,12416
2001,11,10,6,8665
2001,11,11,7,7599
2001,11,12,1,11670
2001,11,13,2,12382
2001,11,14,3,12602
2001,11,15,4,12936
2001,11,16,5,12979
2001,11,17,6,8774
2001,11,18,7,7495
2001,11,19,1,12709
2001,11,20,2,13603
2001,11,21,3,12167
2001,11,22,4,7513
2001,11,23,5,9594
2001,11,24,6,8100
2001,11,25,7,7456
2001,11,26,1,11732
2001,11,27,2,13249
2001,11,28,3,12516
2001,11,29,4,12474
2001,11,30,5,12019
2001,12,1,6,8255
2001,12,2,7,7385
2001,12,3,1,11548
2001,12,4,2,12605
2001,12,5,3,12609
2001,12,6,4,12188
2001,12,7,5,11693
2001,12,8,6,8372
2001,12,9,7,7498
2001,12,10,1,11655
2001,12,11,2,12798
2001,12,12,3,12884
2001,12,13,4,12230
2001,12,14,5,12405
2001,12,15,6,8615
2001,12,16,7,7432
2001,12,17,1,12392
2001,12,18,2,13657
2001,12,19,3,13404
2001,12,20,4,13871
2001,12,21,5,13530
2001,12,22,6,9062
2001,12,23,7,7245
2001,12,24,1,7626
2001,12,25,2,6603
2001,12,26,3,11040
2001,12,27,4,14151
2001,12,28,5,14235
2001,12,29,6,9563
2001,12,30,7,7840
2001,12,31,1,10272
2002,1,1,2,7927
2002,1,2,3,10723
2002,1,3,4,12465
2002,1,4,5,12671
2002,1,5,6,8902
2002,1,6,7,7647
2002,1,7,1,11548
2002,1,8,2,12515
2002,1,9,3,11654
2002,1,10,4,12596
2002,1,11,5,12276
2002,1,12,6,8591
2002,1,13,7,7471
2002,1,14,1,11530
2002,1,15,2,12369
2002,1,16,3,11996
2002,1,17,4,12412
2002,1,18,5,12251
2002,1,19,6,8434
2002,1,20,7,7462
2002,1,21,1,10921
2002,1,22,2,12361
2002,1,23,3,12252
2002,1,24,4,12549
2002,1,25,5,12069
2002,1,26,6,8530
2002,1,27,7,7510
2002,1,28,1,11354
2002,1,29,2,12215
2002,1,30,3,12146
2002,1,31,4,12125
2002,2,1,5,12130
2002,2,2,6,9021
2002,2,3,7,7442
2002,2,4,1,11412
2002,2,5,2,12488
2002,2,6,3,12210
2002,2,7,4,12418
2002,2,8,5,12444
2002,2,9,6,8706
2002,2,10,7,7569
2002,2,11,1,11547
2002,2,12,2,12779
2002,2,13,3,12069
2002,2,14,4,13062
2002,2,15,5,12548
2002,2,16,6,8710
2002,2,17,7,7484
2002,2,18,1,10907
2002,2,19,2,12262
2002,2,20,3,12817
2002,2,21,4,12384
2002,2,22,5,12667
2002,2,23,6,8639
2002,2,24,7,7488
2002,2,25,1,11547
2002,2,26,2,12487
2002,2,27,3,12303
2002,2,28,4,12370
2002,3,1,5,12388
2002,3,2,6,8507
2002,3,3,7,7624
2002,3,4,1,11661
2002,3,5,2,12678
2002,3,6,3,12372
2002,3,7,4,12525
2002,3,8,5,12244
2002,3,9,6,8606
2002,3,10,7,7633
2002,3,11,1,11197
2002,3,12,2,12667
2002,3,13,3,12031
2002,3,14,4,12583
2002,3,15,5,12472
2002,3,16,6,8696
2002,3,17,7,7680
2002,3,18,1,11621
2002,3,19,2,12674
2002,3,20,3,12577
2002,3,21,4,12502
2002,3,22,5,12252
2002,3,23,6,8569
2002,3,24,7,7419
2002,3,25,1,11507
2002,3,26,2,12840
2002,3,27,3,12568
2002,3,28,4,12454
2002,3,29,5,11449
2002,3,30,6,8270
2002,3,31,7,7083
2002,4,1,1,10264
2002,4,2,2,12884
2002,4,3,3,12372
2002,4,4,4,12262
2002,4,5,5,12006
2002,4,6,6,8301
2002,4,7,7,7109
2002,4,8,1,11706
2002,4,9,2,12741
2002,4,10,3,12418
2002,4,11,4,12236
2002,4,12,5,12272
2002,4,13,6,8448
2002,4,14,7,7578
2002,4,15,1,11412
2002,4,16,2,12847
2002,4,17,3,12575
2002,4,18,4,12490
2002,4,19,5,12297
2002,4,20,6,8224
2002,4,21,7,7298
2002,4,22,1,11576
2002,4,23,2,12457
2002,4,24,3,12297
2002,4,25,4,12469
2002,4,26,5,11917
2002,4,27,6,8243
2002,4,28,7,7502
2002,4,29,1,11422
2002,4,30,2,12666
2002,5,1,3,12297
2002,5,2,4,12405
2002,5,3,5,12130
2002,5,4,6,8215
2002,5,5,7,7447
2002,5,6,1,11362
2002,5,7,2,12505
2002,5,8,3,12334
2002,5,9,4,12219
2002,5,10,5,12329
2002,5,11,6,8329
2002,5,12,7,7487
2002,5,13,1,11404
2002,5,14,2,12909
2002,5,15,3,12705
2002,5,16,4,12609
2002,5,17,5,12218
2002,5,18,6,8528
2002,5,19,7,7470
2002,5,20,1,11788
2002,5,21,2,12916
2002,5,22,3,12670
2002,5,23,4,13123
2002,5,24,5,12775
2002,5,25,6,8515
2002,5,26,7,7282
2002,5,27,1,7765
2002,5,28,2,12148
2002,5,29,3,13436
2002,5,30,4,12963
2002,5,31,5,12568
2002,6,1,6,8547
2002,6,2,7,7662
2002,6,3,1,11433
2002,6,4,2,12616
2002,6,5,3,12663
2002,6,6,4,12745
2002,6,7,5,12280
2002,6,8,6,8524
2002,6,9,7,7485
2002,6,10,1,11863
2002,6,11,2,12713
2002,6,12,3,12758
2002,6,13,4,12457
2002,6,14,5,12562
2002,6,15,6,8708
2002,6,16,7,7685
2002,6,17,1,11738
2002,6,18,2,13139
2002,6,19,3,12598
2002,6,20,4,12847
2002,6,21,5,12377
2002,6,22,6,8676
2002,6,23,7,7661
2002,6,24,1,11972
2002,6,25,2,13425
2002,6,26,3,13167
2002,6,27,4,13310
2002,6,28,5,12996
2002,6,29,6,8994
2002,6,30,7,7831
2002,7,1,1,12584
2002,7,2,2,14187
2002,7,3,3,13626
2002,7,4,4,9481
2002,7,5,5,11326
2002,7,6,6,8816
2002,7,7,7,8080
2002,7,8,1,12253
2002,7,9,2,13814
2002,7,10,3,13264
2002,7,11,4,13215
2002,7,12,5,12760
2002,7,13,6,8896
2002,7,14,7,7884
2002,7,15,1,12370
2002,7,16,2,13606
2002,7,17,3,13396
2002,7,18,4,13395
2002,7,19,5,12900
2002,7,20,6,8799
2002,7,21,7,7954
2002,7,22,1,12194
2002,7,23,2,13630
2002,7,24,3,13231
2002,7,25,4,13345
2002,7,26,5,12914
2002,7,27,6,9073
2002,7,28,7,7915
2002,7,29,1,12148
2002,7,30,2,13593
2002,7,31,3,13311
2002,8,1,4,13267
2002,8,2,5,13127
2002,8,3,6,8963
2002,8,4,7,7833
2002,8,5,1,12191
2002,8,6,2,13407
2002,8,7,3,13035
2002,8,8,4,13420
2002,8,9,5,12893
2002,8,10,6,9078
2002,8,11,7,7970
2002,8,12,1,12311
2002,8,13,2,13603
2002,8,14,3,13302
2002,8,15,4,13551
2002,8,16,5,13132
2002,8,17,6,9298
2002,8,18,7,7925
2002,8,19,1,12299
2002,8,20,2,13820
2002,8,21,3,13356
2002,8,22,4,13232
2002,8,23,5,13133
2002,8,24,6,9086
2002,8,25,7,7961
2002,8,26,1,12182
2002,8,27,2,13788
2002,8,28,3,13398
2002,8,29,4,13426
2002,8,30,5,13300
2002,8,31,6,9122
2002,9,1,7,7947
2002,9,2,1,8297
2002,9,3,2,12613
2002,9,4,3,13969
2002,9,5,4,14021
2002,9,6,5,13680
2002,9,7,6,9354
2002,9,8,7,8077
2002,9,9,1,12875
2002,9,10,2,13940
2002,9,11,3,12655
2002,9,12,4,14247
2002,9,13,5,13028
2002,9,14,6,9388
2002,9,15,7,8433
2002,9,16,1,12793
2002,9,17,2,14241
2002,9,18,3,13953
2002,9,19,4,13899
2002,9,20,5,13721
2002,9,21,6,9613
2002,9,22,7,8222
2002,9,23,1,12795
2002,9,24,2,14205
2002,9,25,3,13518
2002,9,26,4,13469
2002,9,27,5,13298
2002,9,28,6,9250
2002,9,29,7,7968
2002,9,30,1,12232
2002,10,1,2,13625
2002,10,2,3,13512
2002,10,3,4,13044
2002,10,4,5,12814
2002,10,5,6,8922
2002,10,6,7,7801
2002,10,7,1,11970
2002,10,8,2,13066
2002,10,9,3,12658
2002,10,10,4,12684
2002,10,11,5,12467
2002,10,12,6,8451
2002,10,13,7,7416
2002,10,14,1,11559
2002,10,15,2,12788
2002,10,16,3,12642
2002,10,17,4,12507
2002,10,18,5,12197
2002,10,19,6,8534
2002,10,20,7,7405
2002,10,21,1,11690
2002,10,22,2,13214
2002,10,23,3,12656
2002,10,24,4,12679
2002,10,25,5,12523
2002,10,26,6,8414
2002,10,27,7,7690
2002,10,28,1,11853
2002,10,29,2,12833
2002,10,30,3,12274
2002,10,31,4,10850
2002,11,1,5,12591
2002,11,2,6,8561
2002,11,3,7,7502
2002,11,4,1,11761
2002,11,5,2,12906
2002,11,6,3,12602
2002,11,7,4,12653
2002,11,8,5,12472
2002,11,9,6,8615
2002,11,10,7,7691
2002,11,11,1,11509
2002,11,12,2,12725
2002,11,13,3,12097
2002,11,14,4,12485
2002,11,15,5,12273
2002,11,16,6,8295
2002,11,17,7,7353
2002,11,18,1,11790
2002,11,19,2,12716
2002,11,20,3,12574
2002,11,21,4,12716
2002,11,22,5,12978
2002,11,23,6,8581
2002,11,24,7,7650
2002,11,25,1,12470
2002,11,26,2,13377
2002,11,27,3,11544
2002,11,28,4,7392
2002,11,29,5,9341
2002,11,30,6,8159
2002,12,1,7,7402
2002,12,2,1,11929
2002,12,3,2,13314
2002,12,4,3,12684
2002,12,5,4,12596
2002,12,6,5,11775
2002,12,7,6,8513
2002,12,8,7,7339
2002,12,9,1,11547
2002,12,10,2,12867
2002,12,11,3,12632
2002,12,12,4,12850
2002,12,13,5,11600
2002,12,14,6,8420
2002,12,15,7,7516
2002,12,16,1,12344
2002,12,17,2,13454
2002,12,18,3,13580
2002,12,19,4,13665
2002,12,20,5,14015
2002,12,21,6,9092
2002,12,22,7,7607
2002,12,23,1,11396
2002,12,24,2,9131
2002,12,25,3,6774
2002,12,26,4,11242
2002,12,27,5,13650
2002,12,28,6,9114
2002,12,29,7,8035
2002,12,30,1,13158
2002,12,31,2,12582
2003,1,1,3,7908
2003,1,2,4,11124
2003,1,3,5,12252
2003,1,4,6,8519
2003,1,5,7,7495
2003,1,6,1,11364
2003,1,7,2,12657
2003,1,8,3,12167
2003,1,9,4,12081
2003,1,10,5,12517
2003,1,11,6,8471
2003,1,12,7,7297
2003,1,13,1,11197
2003,1,14,2,12918
2003,1,15,3,12140
2003,1,16,4,12136
2003,1,17,5,12110
2003,1,18,6,8431
2003,1,19,7,7498
2003,1,20,1,11045
2003,1,21,2,12288
2003,1,22,3,12097
2003,1,23,4,12185
2003,1,24,5,12107
2003,1,25,6,8379
2003,1,26,7,7389
2003,1,27,1,11418
2003,1,28,2,12595
2003,1,29,3,12100
2003,1,30,4,12289
2003,1,31,5,11989
2003,2,1,6,8667
2003,2,2,7,7685
2003,2,3,1,11498
2003,2,4,2,12566
2003,2,5,3,12011
2003,2,6,4,12352
2003,2,7,5,12381
2003,2,8,6,8573
2003,2,9,7,7482
2003,2,10,1,11996
2003,2,11,2,12961
2003,2,12,3,12595
2003,2,13,4,12340
2003,2,14,5,13051
2003,2,15,6,8850
2003,2,16,7,7669
2003,2,17,1,10707
2003,2,18,2,12637
2003,2,19,3,12626
2003,2,20,4,12545
2003,2,21,5,12689
2003,2,22,6,8883
2003,2,23,7,7723
2003,2,24,1,11874
2003,2,25,2,12882
2003,2,26,3,12356
2003,2,27,4,12657
2003,2,28,5,12533
2003,3,1,6,8587
2003,3,2,7,7545
2003,3,3,1,12774
2003,3,4,2,12871
2003,3,5,3,12483
2003,3,6,4,12604
2003,3,7,5,12503
2003,3,8,6,8649
